best_rank,worst_rank,avg_rank,initial_rank,rank_improvement,rank_range,rank_volatility,avg_daily_rank_change,peak_popularity,avg_popularity,popularity_gap,playlist_entries,days_to_peak,stability_score
37,50,44.9,47,10,13,4.3830481529537275,2.5555555555555554,82,81.7,0.2999999999999971,10,4,1.857683549516998
1,50,19.584051724137932,39,38,49,15.13186973259518,1.3153347732181426,97,89.28879310344827,7.7112068965517295,464,1,29.940732723874927
7,50,27.272727272727273,49,42,43,14.71964932020925,3.0930232558139537,89,87.04545454545455,1.9545454545454533,44,14,2.989888581011575
16,16,16.0,16,0,0,0.0,0.0,68,68.0,0.0,1,0,1.0
1,50,20.0,42,41,49,15.98749511336907,1.293548387096774,99,93.44694533762058,5.553054662379424,311,6,26.66667433761269
8,50,22.157894736842103,28,20,42,11.762345592034697,3.4594594594594597,71,66.5,4.5,38,12,2.9775090892160736
11,49,26.44736842105263,43,32,38,11.76020897507357,1.6283185840707963,83,78.3157894736842,4.684210526315795,114,40,9.090760208285005
39,50,44.416666666666664,49,10,11,3.1473476295842,2.1739130434782608,99,96.29166666666669,2.7083333333333144,24,19,6.027949000866952
44,50,46.55555555555556,48,4,6,1.7225911474978357,1.7647058823529411,91,91.0,0.0,18,1,7.345943227054403
6,50,35.813559322033896,6,0,44,11.715246222788211,1.452991452991453,86,84.05932203389831,1.9406779661016884,118,0,9.752072262491286
50,50,50.0,50,0,0,0.0,0.0,82,82.0,0.0,1,0,1.0
18,50,28.448275862068964,18,0,32,7.738729290683501,1.4513888888888888,88,85.53793103448275,2.462068965517247,145,0,23.34435513610516
17,47,34.857142857142854,17,0,30,7.185302459087681,3.7,77,73.28571428571429,3.714285714285708,21,0,2.56557410125815
44,44,44.0,44,0,0,0.0,0.0,65,65.0,0.0,1,0,1.0
46,50,47.125,50,4,4,1.4083086782851733,0.6,85,84.5,0.5,16,4,6.643666629724865
9,48,24.26315789473684,43,34,39,11.783369431685689,2.189189189189189,88,81.44736842105263,6.55263157894737,38,8,3.050838842483272
3,49,25.285714285714285,3,0,46,15.213498922028077,4.615384615384615,73,70.5,2.5,14,0,0.8634780233018822
8,48,26.5,8,0,40,14.832396974191326,6.0,87,73.75,13.25,8,0,0.5052930401531078
14,49,31.666666666666668,14,0,35,10.932298546744484,4.818181818181818,72,68.91666666666667,3.0833333333333286,12,0,1.005673798136235
